2023-01-01 16:57:49,638 [INFO ]  loading data data/pc9.db
2023-01-01 17:42:01,959 [INFO ]  Computing mean and variance
2023-01-01 17:42:03,597 [DEBUG]  target_mean=-4.281670, target_stddev=0.243724
2023-01-01 17:42:03,745 [INFO ]  start training
2023-01-01 17:42:15,880 [INFO ]  step=2150000, energy_mae=0.0184608, energy_rmse=0.0582715, total_loss=0.00339557, train_loss=6.00241e+11
2023-01-01 17:47:13,003 [INFO ]  step=2155000, energy_mae=0.0181838, energy_rmse=0.058421, total_loss=0.00341301, train_loss=9.01139e+11
2023-01-01 17:52:09,941 [INFO ]  step=2160000, energy_mae=0.0210895, energy_rmse=0.0592384, total_loss=0.00350919, train_loss=9.17342e+11
2023-01-01 17:57:07,169 [INFO ]  step=2165000, energy_mae=0.0190914, energy_rmse=0.0589665, total_loss=0.00347705, train_loss=8.94206e+11
2023-01-01 18:02:03,934 [INFO ]  step=2170000, energy_mae=0.0189525, energy_rmse=0.0592964, total_loss=0.00351607, train_loss=9.18251e+11
2023-01-01 18:06:56,624 [INFO ]  step=2175000, energy_mae=0.0191874, energy_rmse=0.0593942, total_loss=0.00352767, train_loss=8.77433e+11
2023-01-01 18:11:46,706 [INFO ]  step=2180000, energy_mae=0.0185533, energy_rmse=0.0590437, total_loss=0.00348616, train_loss=8.79999e+11
2023-01-01 18:16:37,021 [INFO ]  step=2185000, energy_mae=0.0204828, energy_rmse=0.0593233, total_loss=0.00351925, train_loss=8.79947e+11
2023-01-01 18:21:27,577 [INFO ]  step=2190000, energy_mae=0.0188896, energy_rmse=0.0588835, total_loss=0.00346727, train_loss=8.73609e+11
2023-01-01 18:26:18,306 [INFO ]  step=2195000, energy_mae=0.0214296, energy_rmse=0.0598812, total_loss=0.00358575, train_loss=8.924e+11
2023-01-01 18:31:08,770 [INFO ]  step=2200000, energy_mae=0.0185021, energy_rmse=0.0585883, total_loss=0.00343258, train_loss=8.64337e+11
2023-01-01 18:35:58,780 [INFO ]  step=2205000, energy_mae=0.0190047, energy_rmse=0.0590817, total_loss=0.00349065, train_loss=8.94247e+11
2023-01-01 18:40:48,971 [INFO ]  step=2210000, energy_mae=0.0211235, energy_rmse=0.0601234, total_loss=0.00361482, train_loss=8.70143e+11
2023-01-01 18:45:39,017 [INFO ]  step=2215000, energy_mae=0.0214599, energy_rmse=0.0597411, total_loss=0.003569, train_loss=8.66086e+11
2023-01-01 18:50:29,028 [INFO ]  step=2220000, energy_mae=0.0202217, energy_rmse=0.0594584, total_loss=0.0035353, train_loss=8.51599e+11
2023-01-01 18:55:19,134 [INFO ]  step=2225000, energy_mae=0.0186847, energy_rmse=0.0592602, total_loss=0.00351178, train_loss=8.7728e+11
2023-01-01 19:00:09,335 [INFO ]  step=2230000, energy_mae=0.0183256, energy_rmse=0.0585392, total_loss=0.00342684, train_loss=8.57979e+11
2023-01-01 19:04:59,533 [INFO ]  step=2235000, energy_mae=0.0183931, energy_rmse=0.0587496, total_loss=0.00345151, train_loss=8.51325e+11
2023-01-01 19:09:49,829 [INFO ]  step=2240000, energy_mae=0.0184795, energy_rmse=0.0595993, total_loss=0.00355207, train_loss=8.39344e+11
2023-01-01 19:14:40,493 [INFO ]  step=2245000, energy_mae=0.0179828, energy_rmse=0.0584899, total_loss=0.00342106, train_loss=8.49119e+11
2023-01-01 19:19:31,270 [INFO ]  step=2250000, energy_mae=0.0181411, energy_rmse=0.0586239, total_loss=0.00343676, train_loss=8.5158e+11
2023-01-01 19:24:22,005 [INFO ]  step=2255000, energy_mae=0.0184038, energy_rmse=0.0583429, total_loss=0.0034039, train_loss=8.55793e+11
2023-01-01 19:29:12,217 [INFO ]  step=2260000, energy_mae=0.018794, energy_rmse=0.0600806, total_loss=0.00360968, train_loss=8.47679e+11
2023-01-01 19:34:03,180 [INFO ]  step=2265000, energy_mae=0.0182473, energy_rmse=0.0581919, total_loss=0.0033863, train_loss=8.48695e+11
2023-01-01 19:38:53,791 [INFO ]  step=2270000, energy_mae=0.0190488, energy_rmse=0.0588599, total_loss=0.00346448, train_loss=8.29463e+11
2023-01-01 19:43:44,978 [INFO ]  step=2275000, energy_mae=0.018173, energy_rmse=0.0588338, total_loss=0.00346142, train_loss=8.24839e+11
2023-01-01 19:48:35,778 [INFO ]  step=2280000, energy_mae=0.0193728, energy_rmse=0.0593185, total_loss=0.00351868, train_loss=8.5121e+11
2023-01-01 19:53:26,809 [INFO ]  step=2285000, energy_mae=0.0180536, energy_rmse=0.0581933, total_loss=0.00338646, train_loss=8.08001e+11
2023-01-01 19:58:18,094 [INFO ]  step=2290000, energy_mae=0.0183457, energy_rmse=0.0589404, total_loss=0.00347397, train_loss=8.39878e+11
2023-01-01 20:03:09,584 [INFO ]  step=2295000, energy_mae=0.0187742, energy_rmse=0.0590736, total_loss=0.00348969, train_loss=8.23334e+11
2023-01-01 20:08:00,284 [INFO ]  step=2300000, energy_mae=0.0187665, energy_rmse=0.0584845, total_loss=0.00342044, train_loss=8.21174e+11
2023-01-01 20:12:51,487 [INFO ]  step=2305000, energy_mae=0.0185094, energy_rmse=0.0586765, total_loss=0.00344294, train_loss=8.04377e+11
2023-01-01 20:17:42,228 [INFO ]  step=2310000, energy_mae=0.0189702, energy_rmse=0.0587207, total_loss=0.00344812, train_loss=8.15263e+11
2023-01-01 20:22:33,547 [INFO ]  step=2315000, energy_mae=0.0181221, energy_rmse=0.0590165, total_loss=0.00348295, train_loss=8.11449e+11
2023-01-01 20:27:24,393 [INFO ]  step=2320000, energy_mae=0.0185746, energy_rmse=0.0590008, total_loss=0.00348109, train_loss=8.20288e+11
2023-01-01 20:32:15,111 [INFO ]  step=2325000, energy_mae=0.0187748, energy_rmse=0.0587818, total_loss=0.0034553, train_loss=8.00151e+11
2023-01-01 20:37:05,676 [INFO ]  step=2330000, energy_mae=0.0188131, energy_rmse=0.058903, total_loss=0.00346956, train_loss=8.12023e+11
2023-01-01 20:41:56,491 [INFO ]  step=2335000, energy_mae=0.0192685, energy_rmse=0.058248, total_loss=0.00339283, train_loss=8.0981e+11
2023-01-01 20:46:46,690 [INFO ]  step=2340000, energy_mae=0.0181576, energy_rmse=0.0585008, total_loss=0.00342235, train_loss=7.77437e+11
2023-01-01 20:51:37,580 [INFO ]  step=2345000, energy_mae=0.0184145, energy_rmse=0.059071, total_loss=0.00348939, train_loss=7.97668e+11
2023-01-01 20:56:27,743 [INFO ]  step=2350000, energy_mae=0.0179476, energy_rmse=0.0586889, total_loss=0.00344439, train_loss=8.05995e+11
2023-01-01 21:01:18,521 [INFO ]  step=2355000, energy_mae=0.0200699, energy_rmse=0.0591623, total_loss=0.00350017, train_loss=7.89604e+11
2023-01-01 21:06:10,622 [INFO ]  step=2360000, energy_mae=0.0185881, energy_rmse=0.0602224, total_loss=0.00362673, train_loss=7.89815e+11
2023-01-01 21:11:01,737 [INFO ]  step=2365000, energy_mae=0.0185813, energy_rmse=0.0584226, total_loss=0.0034132, train_loss=7.88166e+11
2023-01-01 21:15:53,738 [INFO ]  step=2370000, energy_mae=0.0182337, energy_rmse=0.0593888, total_loss=0.00352703, train_loss=7.70452e+11
2023-01-01 21:20:44,689 [INFO ]  step=2375000, energy_mae=0.0194736, energy_rmse=0.0607534, total_loss=0.00369098, train_loss=7.95479e+11
2023-01-01 21:25:35,774 [INFO ]  step=2380000, energy_mae=0.0185228, energy_rmse=0.0597616, total_loss=0.00357145, train_loss=7.78611e+11
2023-01-01 21:30:26,795 [INFO ]  step=2385000, energy_mae=0.0179972, energy_rmse=0.0584164, total_loss=0.00341248, train_loss=7.88653e+11
2023-01-01 21:35:18,315 [INFO ]  step=2390000, energy_mae=0.0181827, energy_rmse=0.0588044, total_loss=0.00345795, train_loss=7.67474e+11
2023-01-01 21:40:09,485 [INFO ]  step=2395000, energy_mae=0.0194584, energy_rmse=0.0593146, total_loss=0.00351822, train_loss=7.5955e+11
2023-01-01 21:45:00,014 [INFO ]  step=2400000, energy_mae=0.0189859, energy_rmse=0.0587884, total_loss=0.00345607, train_loss=7.61179e+11
2023-01-01 21:49:50,512 [INFO ]  step=2405000, energy_mae=0.0185823, energy_rmse=0.0584415, total_loss=0.00341541, train_loss=7.53206e+11
2023-01-01 21:54:40,662 [INFO ]  step=2410000, energy_mae=0.0181126, energy_rmse=0.0589177, total_loss=0.0034713, train_loss=7.6072e+11
2023-01-01 21:59:31,463 [INFO ]  step=2415000, energy_mae=0.0179253, energy_rmse=0.058521, total_loss=0.00342471, train_loss=7.63455e+11
2023-01-01 22:04:23,123 [INFO ]  step=2420000, energy_mae=0.0178694, energy_rmse=0.0586696, total_loss=0.00344213, train_loss=7.53099e+11
2023-01-01 22:09:13,975 [INFO ]  step=2425000, energy_mae=0.0183864, energy_rmse=0.0588818, total_loss=0.00346707, train_loss=7.37363e+11
2023-01-01 22:14:05,094 [INFO ]  step=2430000, energy_mae=0.0179693, energy_rmse=0.0589056, total_loss=0.00346986, train_loss=7.50651e+11
2023-01-01 22:18:55,973 [INFO ]  step=2435000, energy_mae=0.0179796, energy_rmse=0.0588621, total_loss=0.00346475, train_loss=7.48165e+11
2023-01-01 22:23:47,040 [INFO ]  step=2440000, energy_mae=0.0196627, energy_rmse=0.0591149, total_loss=0.00349458, train_loss=7.69698e+11
2023-01-01 22:28:37,770 [INFO ]  step=2445000, energy_mae=0.0179234, energy_rmse=0.0582695, total_loss=0.00339533, train_loss=7.43996e+11
2023-01-01 22:33:28,594 [INFO ]  step=2450000, energy_mae=0.017981, energy_rmse=0.0584991, total_loss=0.00342214, train_loss=7.48292e+11
2023-01-01 22:38:19,596 [INFO ]  step=2455000, energy_mae=0.0237271, energy_rmse=0.0601018, total_loss=0.00361222, train_loss=7.38918e+11
2023-01-01 22:43:11,038 [INFO ]  step=2460000, energy_mae=0.0189366, energy_rmse=0.0599995, total_loss=0.00359994, train_loss=7.47835e+11
2023-01-01 22:48:02,268 [INFO ]  step=2465000, energy_mae=0.0183289, energy_rmse=0.058405, total_loss=0.00341115, train_loss=7.35197e+11
2023-01-01 22:52:53,886 [INFO ]  step=2470000, energy_mae=0.018213, energy_rmse=0.0587069, total_loss=0.0034465, train_loss=7.35111e+11
2023-01-01 22:57:45,409 [INFO ]  step=2475000, energy_mae=0.0176964, energy_rmse=0.0582737, total_loss=0.00339582, train_loss=7.45071e+11
2023-01-01 23:02:37,026 [INFO ]  step=2480000, energy_mae=0.0184617, energy_rmse=0.0587443, total_loss=0.00345089, train_loss=7.328e+11
2023-01-01 23:07:28,681 [INFO ]  step=2485000, energy_mae=0.0179566, energy_rmse=0.0583606, total_loss=0.00340596, train_loss=7.22095e+11
2023-01-01 23:12:20,596 [INFO ]  step=2490000, energy_mae=0.0193043, energy_rmse=0.0592548, total_loss=0.00351114, train_loss=7.33293e+11
2023-01-01 23:17:12,075 [INFO ]  step=2495000, energy_mae=0.018752, energy_rmse=0.0589069, total_loss=0.00347003, train_loss=7.32095e+11
2023-01-01 23:22:03,844 [INFO ]  step=2500000, energy_mae=0.0176936, energy_rmse=0.0579657, total_loss=0.00336002, train_loss=7.30229e+11
2023-01-01 23:26:55,293 [INFO ]  step=2505000, energy_mae=0.0185169, energy_rmse=0.059154, total_loss=0.00349919, train_loss=7.17823e+11
