2023-01-01 21:05:45,225 [INFO ]  loading data graphnn/data/qm9.db
2023-01-01 22:10:11,856 [INFO ]  Computing mean and variance
2023-01-01 22:10:13,887 [DEBUG]  target_mean=-4.244070, target_stddev=0.189893
2023-01-01 22:10:14,028 [INFO ]  start training
2023-01-01 22:10:29,514 [INFO ]  step=2300000, energy_mae=0.0106188, energy_rmse=0.0276563, total_loss=0.000764871, train_loss=4.27522e+11
2023-01-01 22:15:25,425 [INFO ]  step=2305000, energy_mae=0.0109233, energy_rmse=0.027846, total_loss=0.000775399, train_loss=5.21958e+11
2023-01-01 22:20:21,331 [INFO ]  step=2310000, energy_mae=0.0111986, energy_rmse=0.0279875, total_loss=0.000783301, train_loss=5.27433e+11
2023-01-01 22:25:20,883 [INFO ]  step=2315000, energy_mae=0.0108147, energy_rmse=0.0278838, total_loss=0.000777505, train_loss=5.25696e+11
2023-01-01 22:30:18,139 [INFO ]  step=2320000, energy_mae=0.0105015, energy_rmse=0.0280583, total_loss=0.00078727, train_loss=5.32364e+11
2023-01-01 22:35:14,265 [INFO ]  step=2325000, energy_mae=0.0115226, energy_rmse=0.0281007, total_loss=0.000789647, train_loss=5.19437e+11
2023-01-01 22:40:08,027 [INFO ]  step=2330000, energy_mae=0.0109544, energy_rmse=0.0281724, total_loss=0.000793686, train_loss=5.1301e+11
2023-01-01 22:44:59,088 [INFO ]  step=2335000, energy_mae=0.0114548, energy_rmse=0.0285678, total_loss=0.000816117, train_loss=5.19073e+11
2023-01-01 22:49:50,950 [INFO ]  step=2340000, energy_mae=0.0104488, energy_rmse=0.0275868, total_loss=0.000761032, train_loss=5.09661e+11
2023-01-01 22:54:42,579 [INFO ]  step=2345000, energy_mae=0.0103702, energy_rmse=0.0276779, total_loss=0.000766065, train_loss=5.24436e+11
2023-01-01 22:59:34,180 [INFO ]  step=2350000, energy_mae=0.0102825, energy_rmse=0.0279383, total_loss=0.000780547, train_loss=5.08449e+11
2023-01-01 23:04:25,671 [INFO ]  step=2355000, energy_mae=0.0108031, energy_rmse=0.0275179, total_loss=0.000757236, train_loss=5.04604e+11
2023-01-01 23:09:17,198 [INFO ]  step=2360000, energy_mae=0.0104473, energy_rmse=0.0278177, total_loss=0.000773822, train_loss=5.10447e+11
2023-01-01 23:14:08,675 [INFO ]  step=2365000, energy_mae=0.010323, energy_rmse=0.0273646, total_loss=0.000748819, train_loss=5.10472e+11
2023-01-01 23:19:00,276 [INFO ]  step=2370000, energy_mae=0.0111154, energy_rmse=0.0281243, total_loss=0.000790978, train_loss=5.03386e+11
2023-01-01 23:23:51,767 [INFO ]  step=2375000, energy_mae=0.0102684, energy_rmse=0.0274352, total_loss=0.000752689, train_loss=4.9755e+11
2023-01-01 23:28:42,857 [INFO ]  step=2380000, energy_mae=0.0107705, energy_rmse=0.0277088, total_loss=0.000767776, train_loss=5.07686e+11
2023-01-01 23:33:34,118 [INFO ]  step=2385000, energy_mae=0.0110945, energy_rmse=0.0281071, total_loss=0.00079001, train_loss=5.0071e+11
2023-01-01 23:38:25,296 [INFO ]  step=2390000, energy_mae=0.0102839, energy_rmse=0.0277621, total_loss=0.000770734, train_loss=5.07985e+11
2023-01-01 23:43:16,608 [INFO ]  step=2395000, energy_mae=0.0102893, energy_rmse=0.0277272, total_loss=0.0007688, train_loss=4.94386e+11
2023-01-01 23:48:09,050 [INFO ]  step=2400000, energy_mae=0.0109926, energy_rmse=0.0284524, total_loss=0.000809539, train_loss=4.95825e+11
2023-01-01 23:53:00,003 [INFO ]  step=2405000, energy_mae=0.0101664, energy_rmse=0.0275771, total_loss=0.000760496, train_loss=5.0268e+11
2023-01-01 23:57:52,024 [INFO ]  step=2410000, energy_mae=0.0114272, energy_rmse=0.0277795, total_loss=0.000771701, train_loss=4.89281e+11
2023-01-02 00:02:46,358 [INFO ]  step=2415000, energy_mae=0.0110567, energy_rmse=0.0283181, total_loss=0.000801912, train_loss=4.90024e+11
2023-01-02 00:07:38,104 [INFO ]  step=2420000, energy_mae=0.010344, energy_rmse=0.0276916, total_loss=0.000766824, train_loss=4.87922e+11
2023-01-02 00:12:29,419 [INFO ]  step=2425000, energy_mae=0.0111858, energy_rmse=0.0282576, total_loss=0.00079849, train_loss=4.88887e+11
2023-01-02 00:17:21,196 [INFO ]  step=2430000, energy_mae=0.00996294, energy_rmse=0.0273323, total_loss=0.000747055, train_loss=4.92503e+11
2023-01-02 00:22:12,475 [INFO ]  step=2435000, energy_mae=0.0108635, energy_rmse=0.0276634, total_loss=0.000765264, train_loss=4.85296e+11
